	Name	Label	Taste	Gender	Personality	eat_in_or_out	Job	Bodysize
0	Peter	red	sweet	male	introvert	in		
1	Andreas	white	spicy	male	extrovert	in		
2	James	red	sweet	male	extrovert	in		
3	Jim	white	spicy	male	introvert	out		
4	John	white	spicy	male	extrovert	out		
5	Daniel	white	hot	male	extrovert	in		
6	Catherine	rose	hot	female	extrovert	out		
7	Paula	rose	hot	female	introvert	out		
8	Adrian	red	sweet	male	extrovert	in		
9	Maria	red	sweet	female	extrovert	in		
10	Ben	white	sweet	male	introvert	out		
11	Zac	white	sour	male	introvert	in		
12	Hans	red	sweet	male	extrovert	out		
13	Ian	red	sour	male	introvert	in		
14	Ralf	red	sour	male	extrovert	out		
15	Ortrud	white	sour	female	introvert	out		
16	Lilly	white	sweet	female	introvert	in		
17	Georgina	rose	hot	male	introvert	out		
18	Patricia	white	spicy	female	extrovert	out		
19	Xavier	rose	spicy	male	extrovert	in		
